Epochs	Train Accuracy	Adv Train Accuracy	Targeted Train Accuracy	Test Accuracy	Adv Test Accuracy	Targeted Test Accuracy
1.0	31.852	19.582	0.0	39.84	21.88	0.0
2.0	45.254	24.31	0.0	48.54	26.86	0.0
3.0	53.83	27.292	0.0	55.75	29.72	0.0
4.0	60.04	29.854	0.0	62.63	31.41	0.0
5.0	64.992	31.882	0.0	66.0	30.79	0.0
6.0	68.754	33.81	0.0	68.84	33.65	0.0
7.0	71.544	35.302	0.0	70.79	35.4	0.0
8.0	73.434	36.53	0.0	68.01	36.17	0.0
9.0	75.074	37.536	0.0	74.06	35.28	0.0
10.0	76.31	38.398	0.0	73.36	36.63	0.0
11.0	77.67	39.49	0.0	74.69	38.31	0.0
12.0	78.494	39.86	0.0	75.66	39.25	0.0
13.0	79.128	40.352	0.0	74.34	40.43	0.0
14.0	79.584	40.896	0.0	76.47	38.82	0.0
15.0	80.452	41.364	0.0	76.9	40.09	0.0
16.0	80.928	42.098	0.0	76.64	40.21	0.0
17.0	81.624	42.0	0.0	76.68	39.26	0.0
18.0	81.872	42.584	0.0	77.2	41.83	0.0
19.0	82.266	42.69	0.0	78.42	39.46	0.0
20.0	82.854	43.154	0.0	79.68	39.09	0.0
21.0	83.026	43.064	0.0	77.35	39.43	0.0
22.0	83.494	43.434	0.0	76.57	38.66	0.0
23.0	83.608	43.488	0.0	80.07	41.58	0.0
24.0	84.104	43.366	0.0	81.06	40.22	0.0
25.0	84.544	43.814	0.0	77.49	40.94	0.0
26.0	84.578	44.24	0.0	78.2	40.98	0.0
27.0	84.648	44.226	0.0	80.83	40.71	0.0
28.0	85.152	44.678	0.0	79.35	38.71	0.0
29.0	85.392	44.58	0.0	77.86	39.01	0.0
30.0	85.502	44.504	0.0	79.69	41.13	0.0
31.0	85.902	44.77	0.0	79.18	42.09	0.0
32.0	85.884	45.11	0.0	79.51	42.81	0.0
33.0	86.282	44.988	0.0	79.43	41.65	0.0
34.0	86.256	45.37	0.0	80.33	42.37	0.0
35.0	86.418	45.37	0.0	80.69	40.98	0.0
36.0	86.49	45.27	0.0	80.51	40.54	0.0
37.0	86.522	45.444	0.0	79.29	39.75	0.0
38.0	86.546	45.61	0.0	81.09	40.82	0.0
39.0	86.56	45.826	0.0	81.48	42.51	0.0
40.0	86.884	46.004	0.0	82.25	41.61	0.0
41.0	87.126	46.142	0.0	78.54	40.22	0.0
42.0	86.928	45.972	0.0	79.6	39.9	0.0
43.0	87.08	46.336	0.0	82.25	40.03	0.0
44.0	87.24	45.788	0.0	82.04	40.04	0.0
45.0	87.498	46.058	0.0	81.16	43.17	0.0
46.0	87.48	46.314	0.0	82.41	40.47	0.0
47.0	87.584	46.346	0.0	82.1	40.67	0.0
48.0	87.634	46.244	0.0	79.33	40.67	0.0
49.0	87.504	46.288	0.0	80.47	40.95	0.0
50.0	87.612	46.418	0.0	81.6	39.42	0.0
51.0	87.844	46.73	0.0	81.0	42.02	0.0
52.0	87.978	46.728	0.0	79.89	43.46	0.0
53.0	87.84	46.61	0.0	81.61	42.66	0.0
54.0	88.004	46.542	0.0	82.78	40.57	0.0
55.0	87.864	46.778	0.0	80.34	42.04	0.0
56.0	88.186	46.67	0.0	78.54	38.14	0.0
57.0	88.158	46.876	0.0	80.76	38.93	0.0
58.0	88.052	46.736	0.0	81.36	40.54	0.0
59.0	88.332	46.73	0.0	80.04	43.36	0.0
60.0	88.354	46.808	0.0	79.66	40.48	0.0
61.0	88.422	46.922	0.0	82.42	39.4	0.0
62.0	88.39	46.87	0.0	81.0	41.47	0.0
63.0	88.654	46.618	0.0	81.22	40.66	0.0
64.0	88.556	47.042	0.0	80.38	42.39	0.0
65.0	88.404	47.064	0.0	82.95	43.41	0.0
66.0	88.58	47.306	0.0	81.05	39.79	0.0
67.0	88.704	47.246	0.0	81.35	41.7	0.0
68.0	88.476	47.056	0.0	82.55	39.34	0.0
69.0	88.834	47.34	0.0	81.22	40.79	0.0
70.0	88.648	46.946	0.0	83.49	40.67	0.0
71.0	88.878	47.25	0.0	83.0	39.21	0.0
72.0	88.72	47.31	0.0	82.22	40.59	0.0
73.0	88.814	47.574	0.0	76.73	41.93	0.0
74.0	88.796	47.306	0.0	81.48	41.44	0.0
75.0	88.612	47.296	0.0	81.19	41.49	0.0
76.0	89.048	47.354	0.0	80.83	41.59	0.0
77.0	88.974	47.248	0.0	82.3	39.67	0.0
78.0	88.776	47.314	0.0	82.73	43.3	0.0
79.0	89.064	47.748	0.0	83.42	42.32	0.0
80.0	88.898	47.546	0.0	79.4	38.54	0.0
81.0	88.812	47.518	0.0	82.03	43.03	0.0
82.0	88.946	47.498	0.0	82.8	43.03	0.0
83.0	88.878	47.508	0.0	80.21	41.82	0.0
84.0	89.028	47.592	0.0	81.24	42.13	0.0
85.0	89.144	47.522	0.0	81.32	43.21	0.0
86.0	89.366	47.598	0.0	80.49	43.24	0.0
87.0	89.026	47.176	0.0	82.59	42.85	0.0
88.0	89.084	47.634	0.0	81.81	41.58	0.0
89.0	89.362	47.432	0.0	82.0	40.29	0.0
90.0	88.866	47.634	0.0	83.22	42.07	0.0
91.0	89.35	47.868	0.0	84.01	41.61	0.0
92.0	89.314	47.408	0.0	82.73	45.1	0.0
93.0	89.26	47.658	0.0	83.74	41.5	0.0
94.0	89.196	47.7	0.0	80.69	42.62	0.0
95.0	89.318	47.89	0.0	79.35	43.84	0.0
96.0	89.366	47.95	0.0	82.9	41.08	0.0
97.0	89.288	47.514	0.0	78.95	42.57	0.0
98.0	88.998	47.54	0.0	82.43	43.23	0.0
99.0	89.45	47.658	0.0	82.34	43.31	0.0
100.0	89.57	47.932	0.0	82.55	43.57	0.0
101.0	93.262	56.866	0.0	88.25	47.99	0.0
102.0	94.862	59.776	0.0	87.03	50.82	0.0
103.0	95.592	61.19	0.0	88.14	49.67	0.0
104.0	96.058	62.13	0.0	87.53	50.57	0.0
105.0	96.466	62.962	0.0	88.35	49.55	0.0
106.0	96.828	63.674	0.0	87.3	50.38	0.0
107.0	97.088	64.464	0.0	87.78	50.35	0.0
108.0	97.46	64.74	0.0	87.48	50.41	0.0
109.0	97.628	65.25	0.0	87.05	50.49	0.0
110.0	97.88	65.766	0.0	87.76	50.4	0.0
111.0	97.994	66.124	0.0	87.95	49.19	0.0
112.0	98.174	66.71	0.0	86.34	50.62	0.0
113.0	98.356	66.934	0.0	86.8	50.45	0.0
114.0	98.58	67.624	0.0	87.44	49.48	0.0
115.0	98.652	67.962	0.0	87.72	47.96	0.0
116.0	98.718	68.118	0.0	88.36	46.43	0.0
117.0	98.848	68.634	0.0	86.95	49.93	0.0
118.0	98.9	68.694	0.0	87.44	47.82	0.0
119.0	98.996	69.31	0.0	87.21	46.76	0.0
120.0	99.036	69.346	0.0	87.85	47.23	0.0
121.0	99.11	69.776	0.0	86.81	48.75	0.0
122.0	99.224	70.03	0.0	86.95	48.41	0.0
123.0	99.25	70.292	0.0	86.65	48.76	0.0
124.0	99.272	70.39	0.0	86.62	47.41	0.0
125.0	99.322	70.358	0.0	87.06	47.35	0.0
126.0	99.308	71.004	0.0	87.22	48.08	0.0
127.0	99.418	70.856	0.0	86.37	49.52	0.0
128.0	99.492	71.366	0.0	87.44	46.01	0.0
129.0	99.492	71.394	0.0	86.42	48.16	0.0
130.0	99.474	71.45	0.0	86.47	48.92	0.0
131.0	99.478	71.368	0.0	86.15	47.23	0.0
132.0	99.51	71.484	0.0	86.42	49.28	0.0
133.0	99.55	71.856	0.0	86.81	48.18	0.0
134.0	99.54	71.99	0.0	86.36	47.51	0.0
135.0	99.596	72.184	0.0	86.26	48.24	0.0
136.0	99.562	72.144	0.0	86.26	47.75	0.0
137.0	99.64	72.456	0.0	86.36	45.67	0.0
138.0	99.63	72.324	0.0	86.27	47.89	0.0
139.0	99.648	72.706	0.0	85.85	46.7	0.0
140.0	99.65	72.712	0.0	85.91	46.22	0.0
141.0	99.668	72.704	0.0	85.8	48.18	0.0
142.0	99.71	72.82	0.0	85.13	46.87	0.0
143.0	99.698	73.07	0.0	86.33	47.97	0.0
144.0	99.696	73.276	0.0	85.0	46.8	0.0
145.0	99.686	73.26	0.0	86.46	45.93	0.0
146.0	99.754	73.43	0.0	85.45	47.52	0.0
147.0	99.746	73.702	0.0	86.02	46.23	0.0
148.0	99.724	73.62	0.0	85.64	47.82	0.0
149.0	99.724	73.426	0.0	85.32	44.84	0.0
150.0	99.706	73.444	0.0	85.43	45.55	0.0
151.0	99.892	79.788	0.0	86.1	48.46	0.0
152.0	99.94	81.79	0.0	86.37	48.36	0.0
153.0	99.954	83.044	0.0	86.32	48.47	0.0
154.0	99.968	83.468	0.0	87.17	47.71	0.0
155.0	99.976	83.89	0.0	86.68	47.16	0.0
156.0	99.978	84.324	0.0	86.9	47.22	0.0
157.0	99.978	84.588	0.0	86.59	47.8	0.0
158.0	99.99	84.838	0.0	86.63	47.41	0.0
159.0	99.984	85.202	0.0	87.39	46.85	0.0
160.0	99.988	85.588	0.0	86.72	48.22	0.0
161.0	99.99	85.73	0.0	86.52	47.14	0.0
162.0	99.988	86.056	0.0	86.76	46.84	0.0
163.0	99.984	86.302	0.0	86.6	46.12	0.0
164.0	99.986	86.48	0.0	86.32	48.07	0.0
165.0	99.986	86.63	0.0	86.11	47.77	0.0
166.0	99.996	86.854	0.0	86.55	47.25	0.0
167.0	99.992	87.054	0.0	86.41	46.72	0.0
168.0	99.99	86.922	0.0	86.74	47.12	0.0
169.0	99.99	87.19	0.0	86.49	46.91	0.0
170.0	99.99	87.188	0.0	86.75	46.89	0.0
171.0	99.992	87.534	0.0	86.13	47.3	0.0
172.0	99.99	87.648	0.0	86.51	47.31	0.0
173.0	99.998	87.644	0.0	86.33	46.42	0.0
174.0	99.992	87.768	0.0	86.1	46.64	0.0
175.0	99.996	88.13	0.0	86.37	47.61	0.0
176.0	99.998	88.222	0.0	86.75	46.9	0.0
177.0	99.992	88.182	0.0	86.43	47.34	0.0
178.0	99.998	88.332	0.0	86.11	47.75	0.0
179.0	99.998	88.404	0.0	86.56	47.05	0.0
180.0	99.996	88.442	0.0	86.84	47.01	0.0
181.0	99.996	88.71	0.0	86.35	46.73	0.0
182.0	99.998	88.68	0.0	86.26	46.69	0.0
183.0	99.996	89.018	0.0	86.1	46.61	0.0
184.0	100.0	89.096	0.0	86.44	46.74	0.0
185.0	99.998	89.144	0.0	86.41	47.44	0.0
186.0	99.996	89.084	0.0	86.31	46.72	0.0
187.0	99.998	89.15	0.0	86.64	47.01	0.0
188.0	99.998	89.338	0.0	86.27	46.58	0.0
189.0	99.996	89.524	0.0	86.39	46.62	0.0
190.0	100.0	89.722	0.0	86.29	47.16	0.0
191.0	99.998	89.832	0.0	86.24	46.98	0.0
192.0	99.996	89.744	0.0	86.25	46.73	0.0
193.0	99.996	89.79	0.0	86.11	46.75	0.0
194.0	99.996	89.67	0.0	86.21	46.65	0.0
195.0	99.996	89.856	0.0	85.96	46.94	0.0
196.0	100.0	89.904	0.0	86.43	46.71	0.0
