Epochs	Train Accuracy	Adv Train Accuracy	Targeted Train Accuracy	Test Accuracy	Adv Test Accuracy	Targeted Test Accuracy
1.0			23.668			27.93
2.0			35.068			35.09
3.0			40.5			38.86
4.0			45.236			41.76
5.0			49.084			43.77
6.0			51.828			46.82
7.0			54.864			46.77
8.0			56.862			50.78
9.0			59.368			52.0
10.0			61.36			52.38
11.0			63.07			54.66
12.0			64.328			57.28
13.0			64.53			59.01
14.0			65.638			60.35
15.0			66.22			58.16
16.0			66.806			59.68
17.0			67.284			61.3
18.0			67.244			61.41
19.0			67.318			60.65
20.0			67.718			59.27
21.0			67.81			63.17
22.0			67.598			60.7
23.0			68.21			61.82
24.0			68.088			62.93
25.0			68.064			64.4
26.0			68.112			63.42
27.0			67.81			63.1
28.0			67.482			64.07
29.0			68.132			64.82
30.0			68.808			64.3
31.0			68.514			63.98
32.0			69.122			64.01
33.0			68.266			65.42
34.0			68.79			63.3
35.0			69.052			65.2
36.0			68.872			66.23
37.0			68.65			63.37
38.0			69.376			64.03
39.0			69.048			63.44
40.0			69.25			65.48
41.0			69.61			65.4
42.0			69.772			66.29
43.0			69.902			65.14
44.0			70.096			67.63
45.0			69.81			65.18
46.0			70.736			66.89
47.0			70.54			63.66
48.0			70.356			64.49
49.0			70.224			67.31
50.0			70.444			65.42
51.0			70.402			65.88
52.0			70.312			65.53
53.0			70.474			66.62
54.0			71.12			65.68
55.0			71.134			66.76
56.0			70.394			65.55
57.0			71.062			67.21
58.0			70.428			65.43
59.0			71.162			66.79
60.0			71.754			65.58
61.0			71.362			68.83
62.0			71.064			66.24
63.0			71.084			64.98
64.0			71.798			66.33
65.0			71.432			65.15
66.0			71.722			66.55
67.0			71.65			66.89
68.0			71.594			65.09
69.0			71.736			68.06
70.0			71.15			66.42
71.0			71.332			66.97
72.0			71.64			67.17
73.0			71.558			67.65
74.0			72.614			66.38
75.0			72.518			65.79
76.0			71.96			66.64
77.0			71.848			66.72
78.0			71.62			67.54
79.0			72.596			66.09
80.0			72.502			68.21
81.0			71.772			67.76
82.0			71.73			68.46
83.0			71.654			68.35
84.0			71.886			66.48
85.0			72.706			62.65
86.0			72.702			66.71
87.0			72.86			67.24
88.0			72.576			68.0
89.0			72.596			68.68
90.0			72.554			68.62
91.0			72.99			67.16
92.0			72.842			67.41
93.0			73.3			69.1
94.0			73.034			69.86
95.0			73.422			64.89
96.0			73.382			67.11
97.0			73.026			66.19
98.0			73.174			68.02
99.0			73.73			64.99
100.0			73.518			67.53
101.0			79.052			72.05
102.0			81.518			71.86
103.0			82.89			71.22
104.0			83.436			71.01
105.0			84.336			70.62
106.0			84.726			70.76
107.0			85.562			72.78
108.0			85.988			73.22
109.0			86.294			71.71
110.0			86.654			71.83
111.0			86.81			70.79
112.0			87.342			71.9
113.0			87.468			72.66
114.0			87.71			71.7
115.0			88.34			69.17
116.0			88.1			71.47
117.0			88.528			71.28
118.0			88.6			70.78
119.0			88.566			72.3
120.0			88.92			71.61
121.0			89.254			72.9
122.0			89.412			71.22
123.0			89.504			71.11
124.0			89.958			71.19
125.0			89.572			71.62
126.0			89.83			71.1
127.0			90.27			71.25
128.0			89.978			70.63
129.0			90.22			72.04
130.0			90.408			70.22
131.0			90.252			71.21
132.0			90.556			71.64
133.0			91.016			70.93
134.0			90.784			70.23
135.0			90.502			71.01
136.0			90.534			70.83
137.0			90.556			71.96
138.0			90.614			69.46
139.0			90.55			69.42
140.0			89.918			71.06
141.0			90.786			69.82
142.0			90.882			70.16
143.0			90.804			70.67
144.0			90.838			69.99
145.0			90.906			69.4
146.0			90.658			70.53
147.0			90.574			71.11
148.0			90.588			69.26
149.0			91.004			69.8
150.0			91.078			69.76
151.0			92.666			71.52
152.0			93.384			71.48
153.0			93.73			71.17
154.0			94.394			71.48
155.0			94.466			72.4
156.0			94.562			71.23
157.0			94.664			72.69
158.0			94.812			71.96
159.0			94.974			71.54
160.0			94.99			72.11
161.0			95.242			70.64
162.0			95.102			71.74
163.0			95.348			71.96
164.0			95.412			70.02
165.0			95.318			71.76
166.0			95.454			71.87
167.0			95.502			71.87
168.0			95.526			71.29
169.0			95.718			72.24
170.0			95.796			70.3
171.0			95.68			71.49
172.0			95.938			70.94
173.0			95.896			71.97
174.0			95.736			70.57
175.0			95.854			70.59
176.0			96.004			71.94
177.0			96.196			71.78
178.0			96.108			72.16
179.0			96.118			73.15
180.0			96.282			71.5
181.0			96.136			71.75
182.0			96.312			71.22
183.0			96.094			72.17
184.0			96.134			72.44
185.0			96.372			72.28
186.0			96.558			71.83
187.0			96.344			73.06
188.0			96.51			70.27
189.0			96.366			72.4
190.0			96.57			72.27
191.0			96.594			71.24
192.0			96.518			72.17
193.0			96.628			71.45
194.0			96.924			72.57
195.0			96.68			71.34
196.0			96.668			71.99
197.0			96.726			72.08
198.0			96.78			73.01
199.0			96.874			71.69
200.0			96.722			73.21
